Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6577,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,9137839,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,25039,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,3605,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,941437,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,451929,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1539,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,250760,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,12502,,,0
H2,2002,2002,2002,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,7148455,,,0
H2,2002,2002,2002,2,0,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,1609628,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,10996,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,62,"Articles of apparel and clothing accessories, not knitted or crocheted",1,No Quantity,,,,,,,3590644,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,97,"Works of art, collectors' pieces and antiques",1,No Quantity,,,,,,,9778,,,0
H2,2002,2002,2002,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,,,,,,,97141545,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,,,,,,,1,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,156,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,248953,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,2705664,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,48672,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,21954,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,234,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,526,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,231,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,448870,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,421421,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,196341,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,212928,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,5392,,,0
H2,2002,2002,2002,2,0,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,5538827,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,2596,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,97,"Works of art, collectors' pieces and antiques",1,No Quantity,,,,,,,1086,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2157,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,619,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2107,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,6863,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,29998,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,6097690,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,2282,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,11,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,558,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1875,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,397,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,577,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,37867,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,3478,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,29801,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,12630,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,1465,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,29939,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,211554,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,4071,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,6955,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,25631,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,7040,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,14,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,4,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,6785,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,819,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,62,"Articles of apparel and clothing accessories, not knitted or crocheted",1,No Quantity,,,,,,,3590644,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,97,"Works of art, collectors' pieces and antiques",1,No Quantity,,,,,,,2814,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,584,Marshall Isds,MHL,,,,,,,,97,"Works of art, collectors' pieces and antiques",1,No Quantity,,,,,,,432,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,97,"Works of art, collectors' pieces and antiques",1,No Quantity,,,,,,,2785,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,1174,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,53,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,797,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,97,"Works of art, collectors' pieces and antiques",1,No Quantity,,,,,,,2661,,,0
H2,2002,2002,2002,2,0,1,Import,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,,,,,,,97141545,,,0
H2,2002,2002,2002,2,0,2,Export,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,,,,,,,1,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,13439,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5277707,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,27033,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,655530,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,14113193,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,2017185,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,554116,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,14307,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,28190,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,826,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,911449,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,10998,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,410692,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,732030,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,16286,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,09,"Coffee, tea, matΦ and spices",1,No Quantity,,,,,,,582439,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,5284182,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin,1,No Quantity,,,,,,,875113,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin,1,No Quantity,,,,,,,660,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,87165,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,120848,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,,,,,19153,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products nes,1,No Quantity,,,,,,,6435,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils,1,No Quantity,,,,,,,560311,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans",1,No Quantity,,,,,,,4758048,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1463758,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,349297,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; bakers' wares",1,No Quantity,,,,,,,3675312,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit or nuts",1,No Quantity,,,,,,,1155596,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit or nuts",1,No Quantity,,,,,,,708,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,2228599,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,77,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,2894,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,5832861,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,76502,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,23,Residues and waste from the food industries,1,No Quantity,,,,,,,1405099,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,,,,,1466604,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,,,,,13371,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,1266395,,,0
H2,2003,2003,2003,2,0,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,1700,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,25,Salt; sulfur; earths and stone; plastering materials,1,No Quantity,,,,,,,4092,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,,,,,1318,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,13035768,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,,,,,,,611,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,28,Inorganic chemicals,1,No Quantity,,,,,,,316321,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,29,Organic chemicals,1,No Quantity,,,,,,,137029,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,,,,,1154114,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,,,,,4486,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,31,Fertilizers,1,No Quantity,,,,,,,19146,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,32,Tanning or dyeing extracts,1,No Quantity,,,,,,,818920,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1,No Quantity,,,,,,,658298,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,34,"Soap, organic surface-active agents",1,No Quantity,,,,,,,1588088,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,1,No Quantity,,,,,,,82025,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,36,Explosives; pyrotechnic products; matches,1,No Quantity,,,,,,,43417,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,37,Photographic or cinematographic goods,1,No Quantity,,,,,,,66187,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,38,Miscellaneous chemical products,1,No Quantity,,,,,,,630017,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,,,,,2735585,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,39,Plastics and articles thereof,1,No Quantity,,,,,,,4527,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,,,,,785358,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,,,,,376,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,41,Raw hides and skins (other than fur skins) and leather,1,No Quantity,,,,,,,570,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,42,Articles of leather; saddlery and harness,1,No Quantity,,,,,,,148445,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,42,Articles of leather; saddlery and harness,1,No Quantity,,,,,,,2156,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,43,Fur skins and artificial fur; manufactures thereof,1,No Quantity,,,,,,,79897,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,2778782,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,2100,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,45,Cork and articles of cork,1,No Quantity,,,,,,,2001,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,46,"Manufactures of straw, of esparto or of other plaiting materials",1,No Quantity,,,,,,,11298,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,47,Pulp of wood or of other fibrous cellulose material,1,No Quantity,,,,,,,12472,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",1,No Quantity,,,,,,,1785974,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",1,No Quantity,,,,,,,405,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing indu ...",1,No Quantity,,,,,,,411046,,,0
H2,2003,2003,2003,2,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing indu ...",1,No Quantity,,,,,,,259,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,50,Silk,1,No Quantity,,,,,,,104166,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1,No Quantity,,,,,,,2578,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,52,Cotton,1,No Quantity,,,,,,,530524,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,53,Other vegetable textile fibers; paper yarn and woven fabric of paper yarn,1,No Quantity,,,,,,,14136,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,54,Man-made filaments,1,No Quantity,,,,,,,170285,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,55,Man-made staple fibers,1,No Quantity,,,,,,,52559,,,0
H2,2003,2003,2003,2,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,56,"Wadding, felt and non-wovens; special yarns, twine, cordage, ropes and cabl ...",1,No Quantity,,,,,,,534764,,,0
